Dates,v,s
4/30/2016,2.1,CPI XYOY Index
5/31/2016,2.2,CPI XYOY Index
6/30/2016,2.2,CPI XYOY Index
7/31/2016,2.2,CPI XYOY Index
8/31/2016,2.3,CPI XYOY Index
9/30/2016,2.2,CPI XYOY Index
10/31/2016,2.1,CPI XYOY Index
11/30/2016,2.1,CPI XYOY Index
12/31/2016,2.2,CPI XYOY Index
1/31/2017,2.3,CPI XYOY Index
2/28/2017,2.2,CPI XYOY Index
3/31/2017,2,CPI XYOY Index
4/30/2017,1.9,CPI XYOY Index
5/31/2017,1.7,CPI XYOY Index
6/30/2017,1.7,CPI XYOY Index
7/31/2017,1.7,CPI XYOY Index
8/31/2017,1.7,CPI XYOY Index
9/30/2017,1.7,CPI XYOY Index
10/31/2017,1.8,CPI XYOY Index
11/30/2017,1.7,CPI XYOY Index
12/31/2017,1.8,CPI XYOY Index
1/31/2018,1.8,CPI XYOY Index
2/28/2018,1.8,CPI XYOY Index
1/31/1990,5.2,CPI YOY Index
2/28/1990,5.3,CPI YOY Index
3/31/1990,5.2,CPI YOY Index
4/30/1990,4.7,CPI YOY Index
5/31/1990,4.4,CPI YOY Index
6/30/1990,4.7,CPI YOY Index
7/31/1990,4.8,CPI YOY Index
8/31/1990,5.6,CPI YOY Index
9/30/1990,6.2,CPI YOY Index
10/31/1990,6.3,CPI YOY Index
11/30/1990,6.3,CPI YOY Index
12/31/1990,6.1,CPI YOY Index
1/31/1991,5.7,CPI YOY Index
2/28/1991,5.3,CPI YOY Index
3/31/1991,4.9,CPI YOY Index
4/30/1991,4.9,CPI YOY Index
5/31/1991,5,CPI YOY Index
6/30/1991,4.7,CPI YOY Index
7/31/1991,4.4,CPI YOY Index
8/31/1991,3.8,CPI YOY Index
9/30/1991,3.4,CPI YOY Index
10/31/1991,2.9,CPI YOY Index
11/30/1991,3,CPI YOY Index
12/31/1991,3.1,CPI YOY Index
1/31/1992,2.6,CPI YOY Index
2/29/1992,2.8,CPI YOY Index
3/31/1992,3.2,CPI YOY Index
4/30/1992,3.2,CPI YOY Index
5/31/1992,3,CPI YOY Index
6/30/1992,3.1,CPI YOY Index
7/31/1992,3.2,CPI YOY Index
8/31/1992,3.1,CPI YOY Index
9/30/1992,3,CPI YOY Index
10/31/1992,3.2,CPI YOY Index
11/30/1992,3,CPI YOY Index
12/31/1992,2.9,CPI YOY Index
1/31/1993,3.3,CPI YOY Index
2/28/1993,3.2,CPI YOY Index
3/31/1993,3.1,CPI YOY Index
4/30/1993,3.2,CPI YOY Index
5/31/1993,3.2,CPI YOY Index
6/30/1993,3,CPI YOY Index
7/31/1993,2.8,CPI YOY Index
8/31/1993,2.8,CPI YOY Index
9/30/1993,2.7,CPI YOY Index
10/31/1993,2.8,CPI YOY Index
11/30/1993,2.7,CPI YOY Index
12/31/1993,2.7,CPI YOY Index
1/31/1994,2.5,CPI YOY Index
2/28/1994,2.5,CPI YOY Index
3/31/1994,2.5,CPI YOY Index
